"Dates","Close"
2019-02-06 09:37:00,66.2
2019-02-06 09:50:00,68
2019-02-06 09:51:00,65
2019-02-06 09:55:00,62.9
2019-02-06 09:57:00,61.5
2019-02-06 10:00:00,60
2019-02-06 10:01:00,58.15
2019-02-06 10:04:00,58.04
2019-02-06 10:08:00,58
2019-02-06 10:09:00,56.54
2019-02-06 10:10:00,54.85
2019-02-06 10:11:00,55.33
2019-02-06 10:14:00,54
2019-02-06 10:15:00,53.25
2019-02-06 10:16:00,56
2019-02-06 10:17:00,56.09
2019-02-06 10:19:00,54.1
2019-02-06 10:21:00,53.14
2019-02-06 10:22:00,53
2019-02-06 10:23:00,52.7
2019-02-06 10:26:00,54.25
2019-02-06 10:29:00,53
2019-02-06 10:33:00,56
2019-02-06 10:34:00,55.5
2019-02-06 10:39:00,56.75
2019-02-06 10:40:00,57.23
2019-02-06 10:42:00,57.04
2019-02-06 10:44:00,57.5
2019-02-06 10:45:00,57.8
2019-02-06 10:50:00,58
2019-02-06 10:52:00,58.35
2019-02-06 10:56:00,58.5
2019-02-06 11:00:00,57
2019-02-06 11:08:00,57.69
2019-02-06 11:24:00,54
2019-02-06 11:28:00,54.7
2019-02-06 11:30:00,55.5
2019-02-06 11:41:00,55.39
2019-02-06 11:44:00,54.78
2019-02-06 11:45:00,54.78
2019-02-06 11:49:00,54.35
2019-02-06 12:00:00,54
2019-02-06 12:05:00,55.79
2019-02-06 12:08:00,54.4
2019-02-06 12:10:00,53.65
2019-02-06 12:23:00,54.43
2019-02-06 12:51:00,54.38
2019-02-06 12:54:00,54.2
2019-02-06 12:55:00,54.15
2019-02-06 14:12:00,52.5
2019-02-06 14:32:00,52
2019-02-06 14:41:00,52.25
2019-02-06 14:44:00,52.68
2019-02-06 14:49:00,52.55
2019-02-06 15:07:00,51.7
2019-02-06 15:13:00,51.1
2019-02-06 15:32:00,51.3
2019-02-06 15:38:00,52.5
2019-02-06 15:39:00,52.65
2019-02-06 15:40:00,53.05
2019-02-06 15:42:00,52.28
2019-02-06 15:43:00,52.15
2019-02-06 15:52:00,53.65
2019-02-06 15:53:00,53.75
2019-02-06 15:54:00,54.27
2019-02-06 15:55:00,53.24
2019-02-06 15:58:00,52.99
2019-02-06 15:59:00,53
