"Dates","Close"
2019-02-06 09:30:00,9.57
2019-02-06 09:31:00,9.95
2019-02-06 09:32:00,9.84
2019-02-06 09:33:00,9.8
2019-02-06 09:35:00,9.21
2019-02-06 09:42:00,8.4
2019-02-06 09:49:00,9.4
2019-02-06 09:50:00,9.54
2019-02-06 09:51:00,8.35
2019-02-06 09:52:00,8.34
2019-02-06 09:53:00,8.45
2019-02-06 09:54:00,7.95
2019-02-06 09:55:00,7.5
2019-02-06 09:57:00,7.5
2019-02-06 09:58:00,6.85
2019-02-06 10:01:00,6.2
2019-02-06 10:03:00,6.25
2019-02-06 10:05:00,6.3
2019-02-06 10:06:00,6.2
2019-02-06 10:07:00,6.08
2019-02-06 10:09:00,5.9
2019-02-06 10:10:00,5.65
2019-02-06 10:12:00,5.6
2019-02-06 10:14:00,5.28
2019-02-06 10:16:00,5.48
2019-02-06 10:17:00,5.7
2019-02-06 10:19:00,5.35
2019-02-06 10:23:00,5.04
2019-02-06 10:26:00,5.44
2019-02-06 10:27:00,5.5
2019-02-06 10:28:00,5.4
2019-02-06 10:29:00,5.15
2019-02-06 10:30:00,5.29
2019-02-06 10:31:00,5.61
2019-02-06 10:35:00,5.8
2019-02-06 10:36:00,6
2019-02-06 10:37:00,5.95
2019-02-06 10:40:00,6
2019-02-06 10:42:00,6.1
2019-02-06 10:56:00,6.18
2019-02-06 10:59:00,5.9
2019-02-06 11:02:00,5.67
2019-02-06 11:03:00,5.45
2019-02-06 11:05:00,5.9
2019-02-06 11:19:00,5.62
2019-02-06 11:24:00,5.3
2019-02-06 11:29:00,5.25
2019-02-06 11:30:00,5.35
2019-02-06 12:00:00,5
2019-02-06 12:15:00,5.31
2019-02-06 12:17:00,5.05
2019-02-06 12:18:00,5.13
2019-02-06 12:19:00,5.28
2019-02-06 12:23:00,5.19
2019-02-06 12:44:00,5.15
2019-02-06 12:45:00,5.07
2019-02-06 12:48:00,5
2019-02-06 12:49:00,4.93
2019-02-06 13:28:00,5
2019-02-06 13:48:00,4.82
2019-02-06 13:53:00,4.75
2019-02-06 14:00:00,4.55
2019-02-06 14:05:00,4.7
2019-02-06 14:06:00,4.7
2019-02-06 14:07:00,4.7
2019-02-06 14:08:00,4.7
2019-02-06 14:09:00,4.7
2019-02-06 14:28:00,4.45
2019-02-06 14:36:00,4.4
2019-02-06 14:38:00,4.3
2019-02-06 14:39:00,4.2
2019-02-06 14:44:00,4.35
2019-02-06 15:19:00,4.08
2019-02-06 15:22:00,4.05
2019-02-06 15:29:00,4.09
2019-02-06 15:41:00,4.4
2019-02-06 15:52:00,4.55
2019-02-06 15:58:00,4.3
