"Dates","Close"
2019-02-06 09:51:00,0.02
2019-02-06 09:53:00,0.02
2019-02-06 10:07:00,0.02
2019-02-06 10:10:00,0.02
2019-02-06 10:11:00,0.03
2019-02-06 10:20:00,0.03
2019-02-06 10:25:00,0.03
2019-02-06 11:04:00,0.02
2019-02-06 11:05:00,0.02
2019-02-06 11:06:00,0.02
2019-02-06 11:18:00,0.02
2019-02-06 11:20:00,0.02
2019-02-06 11:21:00,0.02
2019-02-06 11:22:00,0.03
2019-02-06 11:29:00,0.02
2019-02-06 11:48:00,0.02
2019-02-06 12:46:00,0.02
2019-02-06 12:52:00,0.01
2019-02-06 14:16:00,0.02
2019-02-06 14:19:00,0.02
