"Dates","Close"
2019-02-06 09:30:00,8.51
2019-02-06 09:34:00,8.61
2019-02-06 09:36:00,7.75
2019-02-06 09:39:00,7
2019-02-06 09:40:00,7.52
2019-02-06 09:41:00,7.57
2019-02-06 09:43:00,7.75
2019-02-06 09:51:00,8
2019-02-06 10:03:00,5.5
2019-02-06 10:07:00,5.49
2019-02-06 10:14:00,4.85
2019-02-06 10:16:00,4.8
2019-02-06 10:21:00,4.6
2019-02-06 10:22:00,4.48
2019-02-06 10:23:00,4.39
2019-02-06 10:27:00,4.95
2019-02-06 10:42:00,5.45
2019-02-06 11:09:00,5.4
2019-02-06 11:20:00,5.02
2019-02-06 11:52:00,4.5
2019-02-06 11:53:00,4.45
2019-02-06 12:08:00,4.51
2019-02-06 12:48:00,4.45
2019-02-06 13:00:00,4.6
2019-02-06 13:24:00,4.55
2019-02-06 13:29:00,4.48
2019-02-06 13:35:00,4.59
2019-02-06 13:51:00,4.4
2019-02-06 13:57:00,4.18
2019-02-06 13:59:00,4.17
2019-02-06 14:07:00,4.16
2019-02-06 14:11:00,4.08
2019-02-06 14:13:00,4.2
2019-02-06 14:25:00,4.05
2019-02-06 14:27:00,4
2019-02-06 14:39:00,3.46
2019-02-06 15:04:00,3.75
2019-02-06 15:09:00,3.62
2019-02-06 15:10:00,3.63
2019-02-06 15:18:00,3.63
2019-02-06 15:23:00,3.58
2019-02-06 15:27:00,3.68
2019-02-06 15:33:00,3.65
