"Dates","Close"
2019-02-06 09:30:00,24.81
2019-02-06 09:32:00,25.05
2019-02-06 09:33:00,25.3
2019-02-06 09:35:00,24.65
2019-02-06 09:36:00,24.4
2019-02-06 09:38:00,23
2019-02-06 09:40:00,23.85
2019-02-06 09:46:00,25
2019-02-06 09:47:00,25.18
2019-02-06 09:49:00,25
2019-02-06 09:55:00,21.99
2019-02-06 09:58:00,21.28
2019-02-06 09:59:00,21.35
2019-02-06 10:00:00,20.95
2019-02-06 10:04:00,20.17
2019-02-06 10:08:00,19.89
2019-02-06 10:10:00,19.1
2019-02-06 10:12:00,19
2019-02-06 10:13:00,18.8
2019-02-06 10:14:00,18.5
2019-02-06 10:18:00,19.18
2019-02-06 10:22:00,18
2019-02-06 10:24:00,18.4
2019-02-06 10:25:00,18.33
2019-02-06 10:28:00,18.88
2019-02-06 10:31:00,18.8
2019-02-06 10:32:00,19.4
2019-02-06 10:34:00,19.39
2019-02-06 10:41:00,20
2019-02-06 10:42:00,20.1
2019-02-06 10:44:00,20.3
2019-02-06 10:50:00,20.65
2019-02-06 10:51:00,20.25
2019-02-06 10:53:00,20.9
2019-02-06 10:58:00,20.45
2019-02-06 11:05:00,19.92
2019-02-06 11:21:00,19.76
2019-02-06 11:24:00,19.35
2019-02-06 11:26:00,18.32
2019-02-06 11:35:00,19
2019-02-06 11:41:00,19
2019-02-06 11:52:00,18.54
2019-02-06 12:09:00,18.65
2019-02-06 12:22:00,19.05
2019-02-06 12:35:00,19.1
2019-02-06 12:38:00,19.03
2019-02-06 12:42:00,18.81
2019-02-06 13:03:00,18.85
2019-02-06 13:39:00,18.8
2019-02-06 14:00:00,18
2019-02-06 14:01:00,18
2019-02-06 14:12:00,17.85
2019-02-06 14:17:00,17.85
2019-02-06 14:21:00,17.85
2019-02-06 14:30:00,17.75
2019-02-06 14:32:00,17.5
2019-02-06 14:38:00,17.5
2019-02-06 14:47:00,17.84
2019-02-06 14:48:00,17.84
2019-02-06 14:58:00,17.7
2019-02-06 15:10:00,17
2019-02-06 15:14:00,17.05
2019-02-06 15:19:00,17.15
2019-02-06 15:26:00,17.3
2019-02-06 15:27:00,17.3
2019-02-06 15:28:00,17.4
2019-02-06 15:36:00,17.38
2019-02-06 15:37:00,17.5
2019-02-06 15:39:00,17.66
2019-02-06 15:43:00,17.56
2019-02-06 15:48:00,18
2019-02-06 15:49:00,18.1
2019-02-06 15:52:00,18.33
2019-02-06 15:59:00,17.98
