"Dates","Close"
2019-02-06 09:30:00,4.4
2019-02-06 09:52:00,5.15
2019-02-06 10:00:00,6.8
2019-02-06 10:09:00,8.44
2019-02-06 10:10:00,8.45
2019-02-06 10:16:00,9
2019-02-06 10:20:00,9.27
2019-02-06 10:30:00,9.75
2019-02-06 10:44:00,8.09
2019-02-06 11:01:00,8.71
2019-02-06 11:29:00,9.14
2019-02-06 11:56:00,9.25
2019-02-06 12:03:00,8.87
2019-02-06 12:06:00,8.86
2019-02-06 12:26:00,8.67
2019-02-06 12:48:00,8.95
2019-02-06 13:56:00,8.97
2019-02-06 14:01:00,9.07
2019-02-06 14:17:00,9
2019-02-06 14:46:00,8.72
2019-02-06 14:53:00,8.85
2019-02-06 14:59:00,8.6
2019-02-06 15:14:00,9.14
2019-02-06 15:22:00,9.2
2019-02-06 15:25:00,9.37
2019-02-06 15:51:00,8
