"Dates","Close"
2019-02-06 09:54:00,18.1
2019-02-06 10:04:00,15.8
2019-02-06 10:05:00,15.9
2019-02-06 10:11:00,15.02
2019-02-06 10:12:00,14.91
2019-02-06 10:20:00,14.95
2019-02-06 10:30:00,14.76
2019-02-06 10:50:00,16.22
2019-02-06 11:06:00,15.7
2019-02-06 11:18:00,15.57
2019-02-06 11:30:00,14.91
2019-02-06 11:46:00,14.68
2019-02-06 11:58:00,14.79
2019-02-06 12:37:00,15.03
2019-02-06 14:10:00,14.15
2019-02-06 14:12:00,14.02
2019-02-06 14:31:00,14
2019-02-06 14:44:00,13.8
2019-02-06 15:02:00,13.6
2019-02-06 15:07:00,13.39
2019-02-06 15:40:00,13.96
2019-02-06 15:49:00,14.12
