"Dates","Close"
2019-02-06 09:33:00,6.8
2019-02-06 09:35:00,6.45
2019-02-06 09:40:00,5.75
2019-02-06 09:46:00,6.9
2019-02-06 09:54:00,5.7
2019-02-06 10:02:00,4.4
2019-02-06 10:09:00,4.2
2019-02-06 10:12:00,4.07
2019-02-06 10:15:00,3.6
2019-02-06 10:18:00,4
2019-02-06 10:26:00,3.86
2019-02-06 10:45:00,4.44
2019-02-06 10:53:00,4.42
2019-02-06 11:10:00,4.3
2019-02-06 11:26:00,3.5
2019-02-06 11:56:00,3.71
2019-02-06 12:12:00,3.7
2019-02-06 12:15:00,3.75
2019-02-06 13:00:00,3.68
2019-02-06 13:11:00,3.65
2019-02-06 13:52:00,3.55
2019-02-06 13:54:00,3.45
2019-02-06 14:23:00,3.25
2019-02-06 15:09:00,2.9
2019-02-06 15:29:00,2.94
2019-02-06 15:30:00,2.96
2019-02-06 15:31:00,2.94
