name,expiration,type,strike,computed_prices
SPY190215P00216000,2019-02-15,P,216.00,0.02
SPY190215P00217000,2019-02-15,P,217.00,0.02
SPY190215P00218000,2019-02-15,P,218.00,0.02
SPY190215C00220000,2019-02-15,C,220.00,50.55
SPY190215P00220000,2019-02-15,P,220.00,0.02
SPY190215P00221000,2019-02-15,P,221.00,0.02
SPY190215P00222000,2019-02-15,P,222.00,0.03
SPY190215P00225000,2019-02-15,P,225.00,0.03
SPY190215P00226000,2019-02-15,P,226.00,0.03
SPY190215P00227000,2019-02-15,P,227.00,0.33
SPY190215P00228000,2019-02-15,P,228.00,0.02
SPY190215P00229000,2019-02-15,P,229.00,0.04
SPY190215C00230000,2019-02-15,C,230.00,40.81
SPY190215P00230000,2019-02-15,P,230.00,0.03
SPY190215P00231000,2019-02-15,P,231.00,0.02
SPY190215P00232000,2019-02-15,P,232.00,0.02
SPY190215P00233000,2019-02-15,P,233.00,0.04
SPY190215P00234000,2019-02-15,P,234.00,0.04
SPY190215C00235000,2019-02-15,C,235.00,35.58
SPY190215P00235000,2019-02-15,P,235.00,0.04
SPY190215P00236000,2019-02-15,P,236.00,0.04
SPY190215P00237000,2019-02-15,P,237.00,0.05
SPY190215C00238000,2019-02-15,C,238.00,32.62
SPY190215P00238000,2019-02-15,P,238.00,0.04
SPY190215P00239000,2019-02-15,P,239.00,0.05
SPY190215C00240000,2019-02-15,C,240.00,30.47
SPY190215P00240000,2019-02-15,P,240.00,0.04
SPY190215C00241000,2019-02-15,C,241.00,29.62
SPY190215P00241000,2019-02-15,P,241.00,0.05
SPY190215C00242000,2019-02-15,C,242.00,28.44
SPY190215P00242000,2019-02-15,P,242.00,0.06
SPY190215C00243000,2019-02-15,C,243.00,27.66
SPY190215P00243000,2019-02-15,P,243.00,0.07
SPY190215C00244000,2019-02-15,C,244.00,26.78
SPY190215P00244000,2019-02-15,P,244.00,0.08
SPY190215C00245000,2019-02-15,C,245.00,25.84
SPY190215P00245000,2019-02-15,P,245.00,0.07
SPY190215C00246000,2019-02-15,C,246.00,24.69
SPY190215P00246000,2019-02-15,P,246.00,0.09
SPY190215C00247000,2019-02-15,C,247.00,23.53
SPY190215P00247000,2019-02-15,P,247.00,0.11
SPY190215C00248000,2019-02-15,C,248.00,22.55
SPY190215P00248000,2019-02-15,P,248.00,0.10
SPY190215P00249000,2019-02-15,P,249.00,0.11
SPY190215C00250000,2019-02-15,C,250.00,20.57
SPY190215P00250000,2019-02-15,P,250.00,0.12
SPY190215C00251000,2019-02-15,C,251.00,19.91
SPY190215P00251000,2019-02-15,P,251.00,0.14
SPY190215C00252000,2019-02-15,C,252.00,18.61
SPY190215P00252000,2019-02-15,P,252.00,0.15
SPY190215C00253000,2019-02-15,C,253.00,17.68
SPY190215P00253000,2019-02-15,P,253.00,0.17
SPY190215C00254000,2019-02-15,C,254.00,16.85
SPY190215P00254000,2019-02-15,P,254.00,0.18
SPY190215C00255000,2019-02-15,C,255.00,15.58
SPY190215P00255000,2019-02-15,P,255.00,0.22
SPY190215C00256000,2019-02-15,C,256.00,14.68
SPY190215P00256000,2019-02-15,P,256.00,0.25
SPY190215C00257000,2019-02-15,C,257.00,13.88
SPY190215P00257000,2019-02-15,P,257.00,0.28
SPY190215C00258000,2019-02-15,C,258.00,12.66
SPY190215P00258000,2019-02-15,P,258.00,0.32
SPY190215C00259000,2019-02-15,C,259.00,11.77
SPY190215P00259000,2019-02-15,P,259.00,0.38
SPY190215C00260000,2019-02-15,C,260.00,10.76
SPY190215P00260000,2019-02-15,P,260.00,0.43
SPY190215P00261000,2019-02-15,P,261.00,0.49
SPY190215C00262000,2019-02-15,C,262.00,8.92
SPY190215P00262000,2019-02-15,P,262.00,0.58
SPY190215C00263000,2019-02-15,C,263.00,7.94
SPY190215P00263000,2019-02-15,P,263.00,0.66
SPY190215C00264000,2019-02-15,C,264.00,7.03
SPY190215P00264000,2019-02-15,P,264.00,0.76
SPY190215C00265000,2019-02-15,C,265.00,6.14
SPY190215P00265000,2019-02-15,P,265.00,0.87
SPY190215C00266000,2019-02-15,C,266.00,5.33
SPY190215P00266000,2019-02-15,P,266.00,1.00
SPY190215C00267000,2019-02-15,C,267.00,4.49
SPY190215P00267000,2019-02-15,P,267.00,1.14
SPY190215C00268000,2019-02-15,C,268.00,3.69
SPY190215P00268000,2019-02-15,P,268.00,1.26
SPY190215C00269000,2019-02-15,C,269.00,3.03
SPY190215P00269000,2019-02-15,P,269.00,1.36
SPY190215C00270000,2019-02-15,C,270.00,2.42
SPY190215P00270000,2019-02-15,P,270.00,1.41
SPY190215C00271000,2019-02-15,C,271.00,1.87
SPY190215P00271000,2019-02-15,P,271.00,1.46
SPY190215C00272000,2019-02-15,C,272.00,1.39
SPY190215P00272000,2019-02-15,P,272.00,1.57
SPY190215C00273000,2019-02-15,C,273.00,0.99
SPY190215P00273000,2019-02-15,P,273.00,1.84
SPY190215C00274000,2019-02-15,C,274.00,0.69
SPY190215P00274000,2019-02-15,P,274.00,2.28
SPY190215C00275000,2019-02-15,C,275.00,0.46
SPY190215P00275000,2019-02-15,P,275.00,2.85
