,Geometric Asian Call,Arithmetic Asian Call
95% CI,(0.0000; 82.2082),(0.0000; 92.6000)
99% CI,(0.0000; 137.4573),(0.0000; 160.3089)
Price Estimate,17.638993595470776,20.296000760638616
Standard Deviation,30.907907765616933,35.663827780642016
Standard Error,0.030907907765616933,0.03566382778064202
Time Elapsed,178.1929430961609,261.84300994873047
