"Dates","Close"
2019-02-06 09:30:00,45.4
2019-02-06 09:35:00,45.95
2019-02-06 09:40:00,47.6
2019-02-06 09:41:00,46.83
2019-02-06 09:52:00,48.33
2019-02-06 09:54:00,49.61
2019-02-06 09:57:00,50.2
2019-02-06 09:58:00,51.35
2019-02-06 10:02:00,54.35
2019-02-06 10:05:00,54.15
2019-02-06 10:10:00,56.81
2019-02-06 10:12:00,58.4
2019-02-06 10:13:00,59
2019-02-06 10:15:00,60.5
2019-02-06 10:16:00,58.3
2019-02-06 10:27:00,60.18
2019-02-06 10:32:00,59.1
2019-02-06 10:41:00,56.75
2019-02-06 10:53:00,56.09
2019-02-06 11:10:00,56.5
2019-02-06 11:12:00,56.5
2019-02-06 11:24:00,58.15
2019-02-06 11:34:00,58.2
2019-02-06 11:36:00,58.8
2019-02-06 11:41:00,58.17
2019-02-06 11:44:00,58.85
2019-02-06 11:45:00,59
2019-02-06 11:51:00,59.2
2019-02-06 12:10:00,59.65
2019-02-06 12:25:00,58.6
2019-02-06 12:32:00,58.75
2019-02-06 12:47:00,59
2019-02-06 12:52:00,59.05
2019-02-06 13:36:00,58.25
2019-02-06 13:48:00,59.2
2019-02-06 14:16:00,59.25
2019-02-06 14:26:00,59.64
2019-02-06 14:32:00,60.5
2019-02-06 15:03:00,60.07
2019-02-06 15:07:00,60.7
2019-02-06 15:14:00,60.2
2019-02-06 15:15:00,60.58
2019-02-06 15:39:00,59.1
2019-02-06 15:44:00,59.28
2019-02-06 15:52:00,57.94
2019-02-06 15:53:00,57.9
2019-02-06 15:54:00,58.2
2019-02-06 15:55:00,58.38
