"Dates","Close"
2019-02-06 09:52:00,46.14
2019-02-06 10:10:00,54.95
2019-02-06 10:15:00,57
2019-02-06 10:16:00,55.85
2019-02-06 10:33:00,55.4
2019-02-06 10:34:00,55.65
2019-02-06 10:46:00,53.17
2019-02-06 10:47:00,53.75
2019-02-06 10:48:00,53.1
2019-02-06 10:49:00,53.18
2019-02-06 10:50:00,53.3
2019-02-06 10:51:00,53.85
2019-02-06 10:53:00,52.61
2019-02-06 10:59:00,55.37
2019-02-06 11:27:00,57.05
2019-02-06 12:54:00,57.04
2019-02-06 13:03:00,56.07
2019-02-06 14:03:00,57.2
2019-02-06 14:26:00,57.14
2019-02-06 14:37:00,57.55
2019-02-06 14:38:00,57.85
