"Dates","Close"
2019-02-06 09:32:00,2.75
2019-02-06 09:34:00,2.72
2019-02-06 09:35:00,2.73
2019-02-06 09:37:00,2.76
2019-02-06 09:38:00,2.83
2019-02-06 09:39:00,2.86
2019-02-06 09:41:00,2.86
2019-02-06 09:46:00,2.79
2019-02-06 09:48:00,2.77
2019-02-06 09:49:00,2.75
2019-02-06 09:51:00,2.77
2019-02-06 09:53:00,2.75
2019-02-06 09:54:00,2.74
2019-02-06 09:58:00,2.8
2019-02-06 09:59:00,2.81
2019-02-06 10:00:00,2.86
2019-02-06 10:09:00,2.88
2019-02-06 10:11:00,2.99
2019-02-06 10:13:00,3.03
2019-02-06 10:14:00,3.06
2019-02-06 10:16:00,3.1
2019-02-06 10:21:00,3.03
2019-02-06 10:22:00,3.06
2019-02-06 10:23:00,3.09
2019-02-06 10:24:00,3.03
2019-02-06 10:25:00,2.98
2019-02-06 10:31:00,2.96
2019-02-06 10:37:00,2.9
2019-02-06 10:38:00,2.88
2019-02-06 10:40:00,2.8
2019-02-06 10:41:00,2.82
2019-02-06 10:44:00,2.79
2019-02-06 10:45:00,2.75
2019-02-06 10:46:00,2.75
2019-02-06 10:48:00,2.77
2019-02-06 10:51:00,2.74
2019-02-06 10:53:00,2.7
2019-02-06 11:00:00,2.69
2019-02-06 11:02:00,2.72
2019-02-06 11:05:00,2.69
2019-02-06 11:08:00,2.66
2019-02-06 11:09:00,2.67
2019-02-06 11:13:00,2.72
2019-02-06 11:20:00,2.74
2019-02-06 11:22:00,2.7
2019-02-06 11:25:00,2.85
2019-02-06 11:28:00,2.84
2019-02-06 11:29:00,2.83
2019-02-06 11:44:00,2.72
2019-02-06 11:46:00,2.77
2019-02-06 11:51:00,2.76
2019-02-06 11:56:00,2.84
2019-02-06 12:02:00,2.84
2019-02-06 12:15:00,2.87
2019-02-06 12:19:00,2.91
2019-02-06 12:28:00,2.82
2019-02-06 12:32:00,2.84
2019-02-06 12:44:00,2.81
2019-02-06 12:48:00,2.88
2019-02-06 13:03:00,2.8
2019-02-06 13:15:00,2.78
2019-02-06 13:19:00,2.77
2019-02-06 13:30:00,2.78
2019-02-06 13:33:00,2.76
2019-02-06 13:36:00,2.73
2019-02-06 13:38:00,2.72
2019-02-06 13:42:00,2.74
2019-02-06 13:56:00,2.77
2019-02-06 14:00:00,2.82
2019-02-06 14:01:00,2.84
2019-02-06 14:16:00,2.94
2019-02-06 14:17:00,2.97
2019-02-06 14:23:00,2.89
2019-02-06 14:28:00,2.9
2019-02-06 14:40:00,2.97
2019-02-06 14:43:00,2.95
2019-02-06 15:04:00,2.9
2019-02-06 15:30:00,2.86
2019-02-06 15:35:00,2.91
2019-02-06 15:37:00,2.9
2019-02-06 15:43:00,2.87
2019-02-06 15:44:00,2.86
2019-02-06 15:47:00,2.85
2019-02-06 15:50:00,2.83
2019-02-06 15:51:00,2.82
2019-02-06 15:52:00,2.8
2019-02-06 15:56:00,2.84
2019-02-06 15:57:00,2.84
