name,expiration,type,strike,implied_vol
AMZN190418C01720000,2019-04-18,C,1720.0,0.27736047954510545
AMZN190418P01720000,2019-04-18,P,1720.0,0.27776721798245557
AMZN190418C01725000,2019-04-18,C,1725.0,0.2677525644717009
AMZN190418P01725000,2019-04-18,P,1725.0,0.2322764652769279
AMZN190418C01740000,2019-04-18,C,1740.0,0.2716831417034959
AMZN190418C01760000,2019-04-18,C,1760.0,0.2699733085339636
AMZN190418P01760000,2019-04-18,P,1760.0,0.28198470240053924
AMZN190418C01780000,2019-04-18,C,1780.0,0.2691921736578197
AMZN190418C01785000,2019-04-18,C,1785.0,0.2705791966079751
AMZN190418P01785000,2019-04-18,P,1785.0,0.2770351326983908
AMZN190418C01790000,2019-04-18,C,1790.0,0.26068703292885703
AMZN190418P01790000,2019-04-18,P,1790.0,0.16296300131951452
AMZN190418C01795000,2019-04-18,C,1795.0,0.26029629475625277
AMZN190418P01795000,2019-04-18,P,1795.0,0.27699993699407943
AMZN190418C01800000,2019-04-18,C,1800.0,0.2656045777108663
AMZN190418P01800000,2019-04-18,P,1800.0,0.24267078360633168
AMZN190418C01805000,2019-04-18,C,1805.0,0.2617792705135882
AMZN190418C01810000,2019-04-18,C,1810.0,0.26277601871344136
AMZN190418C01820000,2019-04-18,C,1820.0,0.2613774833776762
AMZN190418C01825000,2019-04-18,C,1825.0,0.2598911173203412
AMZN190418C01830000,2019-04-18,C,1830.0,0.26095847644464437
AMZN190418C01840000,2019-04-18,C,1840.0,0.2635895199787891
AMZN190418C01850000,2019-04-18,C,1850.0,0.26487732177500223
AMZN190418C01855000,2019-04-18,C,1855.0,0.2600204853145668
AMZN190418C01860000,2019-04-18,C,1860.0,0.27086795748347214
AMZN190418C01865000,2019-04-18,C,1865.0,0.27064900264105834
AMZN190418C01870000,2019-04-18,C,1870.0,0.2620139573236256
AMZN190418C01875000,2019-04-18,C,1875.0,0.2612693108561094
AMZN190418C01880000,2019-04-18,C,1880.0,0.2659066314892391
AMZN190418C01885000,2019-04-18,C,1885.0,0.2650399342217409
AMZN190418C01890000,2019-04-18,C,1890.0,0.26456307267289025
AMZN190418C01895000,2019-04-18,C,1895.0,0.25696136152652826
AMZN190418C01900000,2019-04-18,C,1900.0,0.26440775302974767
AMZN190418P01900000,2019-04-18,P,1900.0,0.25863124696121
AMZN190418C01905000,2019-04-18,C,1905.0,0.2654209405260013
AMZN190418C01910000,2019-04-18,C,1910.0,0.2644220703398175
AMZN190418C01915000,2019-04-18,C,1915.0,0.26904395169309336
AMZN190418C01920000,2019-04-18,C,1920.0,0.2681516930270378
AMZN190418C01925000,2019-04-18,C,1925.0,0.2657634096072458
AMZN190418C01930000,2019-04-18,C,1930.0,0.2630787554299435
AMZN190418C01935000,2019-04-18,C,1935.0,0.28071777899856765
AMZN190418C01940000,2019-04-18,C,1940.0,0.2775561901004723
AMZN190418C01950000,2019-04-18,C,1950.0,0.2625715763062772
AMZN190418C01960000,2019-04-18,C,1960.0,0.2628836790314111
AMZN190418C01965000,2019-04-18,C,1965.0,0.2610769174287996
AMZN190418P01965000,2019-04-18,P,1965.0,0.2577402104749604
