"Dates","Close"
2019-02-06 09:37:00,4.9
2019-02-06 09:45:00,4.94
2019-02-06 09:58:00,4.95
2019-02-06 10:01:00,5.01
2019-02-06 10:11:00,5.17
2019-02-06 10:14:00,5.3
2019-02-06 10:15:00,5.27
2019-02-06 10:53:00,4.86
2019-02-06 11:04:00,4.85
2019-02-06 11:05:00,4.84
2019-02-06 11:24:00,4.96
2019-02-06 12:34:00,4.96
2019-02-06 13:26:00,4.93
2019-02-06 13:34:00,4.88
2019-02-06 14:16:00,5.09
2019-02-06 14:17:00,5.09
2019-02-06 14:24:00,5.03
2019-02-06 14:39:00,5.16
2019-02-06 15:19:00,5.01
2019-02-06 15:51:00,4.94
2019-02-06 15:57:00,5.01
