"Dates","Close"
2019-02-06 09:36:00,7.63
2019-02-06 09:37:00,7.59
2019-02-06 09:39:00,7.35
2019-02-06 09:44:00,7.48
2019-02-06 10:01:00,7.3
2019-02-06 10:08:00,7.33
2019-02-06 10:10:00,7.09
2019-02-06 10:13:00,7.04
2019-02-06 10:15:00,6.87
2019-02-06 10:17:00,6.97
2019-02-06 10:20:00,6.94
2019-02-06 10:23:00,6.76
2019-02-06 10:25:00,7.02
2019-02-06 10:27:00,7.1
2019-02-06 10:31:00,7.03
2019-02-06 10:51:00,7.47
2019-02-06 10:52:00,7.56
2019-02-06 11:06:00,7.7
2019-02-06 11:40:00,7.56
2019-02-06 11:51:00,7.4
2019-02-06 12:27:00,7.4
2019-02-06 12:34:00,7.43
2019-02-06 12:35:00,7.41
2019-02-06 13:17:00,7.55
2019-02-06 13:30:00,7.49
2019-02-06 13:44:00,7.59
2019-02-06 14:21:00,7.12
2019-02-06 14:51:00,7.13
2019-02-06 14:53:00,7.1
2019-02-06 15:15:00,7.33
2019-02-06 15:16:00,7.25
2019-02-06 15:50:00,7.45
