"Dates","Close"
2019-02-06 09:31:00,0.32
2019-02-06 09:32:00,0.33
2019-02-06 09:33:00,0.34
2019-02-06 09:37:00,0.32
2019-02-06 09:39:00,0.29
2019-02-06 09:44:00,0.31
2019-02-06 09:47:00,0.32
2019-02-06 09:48:00,0.33
2019-02-06 09:49:00,0.34
2019-02-06 09:56:00,0.31
2019-02-06 09:57:00,0.32
2019-02-06 09:59:00,0.28
2019-02-06 10:04:00,0.26
2019-02-06 10:06:00,0.27
2019-02-06 10:09:00,0.25
2019-02-06 10:14:00,0.24
2019-02-06 10:17:00,0.24
2019-02-06 10:18:00,0.24
2019-02-06 10:19:00,0.24
2019-02-06 10:20:00,0.24
2019-02-06 10:21:00,0.23
2019-02-06 10:22:00,0.22
2019-02-06 10:23:00,0.24
2019-02-06 10:25:00,0.26
2019-02-06 10:26:00,0.25
2019-02-06 10:29:00,0.25
2019-02-06 10:31:00,0.24
2019-02-06 10:39:00,0.26
2019-02-06 10:43:00,0.27
2019-02-06 10:48:00,0.28
2019-02-06 11:00:00,0.29
2019-02-06 11:02:00,0.29
2019-02-06 11:06:00,0.3
2019-02-06 11:12:00,0.3
2019-02-06 11:24:00,0.26
2019-02-06 11:27:00,0.25
2019-02-06 11:55:00,0.26
2019-02-06 12:05:00,0.26
2019-02-06 12:18:00,0.23
2019-02-06 12:40:00,0.28
2019-02-06 12:48:00,0.24
2019-02-06 12:49:00,0.24
2019-02-06 13:04:00,0.26
2019-02-06 13:06:00,0.27
2019-02-06 13:10:00,0.26
2019-02-06 13:15:00,0.26
2019-02-06 13:17:00,0.26
2019-02-06 13:28:00,0.26
2019-02-06 13:38:00,0.27
2019-02-06 13:54:00,0.25
2019-02-06 13:56:00,0.24
2019-02-06 14:00:00,0.23
2019-02-06 14:07:00,0.22
2019-02-06 14:13:00,0.21
2019-02-06 14:28:00,0.22
2019-02-06 14:29:00,0.23
2019-02-06 14:33:00,0.21
2019-02-06 14:38:00,0.21
2019-02-06 14:55:00,0.22
2019-02-06 15:04:00,0.22
2019-02-06 15:41:00,0.24
2019-02-06 15:57:00,0.21
