,name,delta_analytical,delta_estimated,gamma_analytical,gamma_estimated,vega_analytical,vega_estimated
0,AMZN190215C01560000,0.8760679150219091,0.8760684977460187,0.00278484876854603,0.0,52.70361857858571,237.1293783909323
1,AMZN190215C01565000,0.8524446105189116,0.8524443728674669,0.003026312953761148,-45.47473508864642,59.397732354243786,210.30542633582172
2,AMZN190215C01570000,0.8416057806744925,0.841605469759088,0.003249383154647599,90.94947017729284,62.25601595817081,206.24302166538655
3,AMZN190215C01575000,0.7312255542120806,0.7312257821467938,0.0028372009923324916,22.73736754432321,84.96881838768314,63.31669510473148
4,AMZN190215C01580000,0.8079519361767181,0.8079530289251124,0.003713968384818514,-22.73736754432321,70.3554180534645,177.03303562655037
5,AMZN190215C01585000,0.7538748229535992,0.7538756108260714,0.0036391620946889486,-45.47473508864642,81.16899309424511,105.10244891293041
6,AMZN190215C01590000,0.7414343738053853,0.7414359970425721,0.003869406452650731,0.0,83.30675717463416,99.23870997852191
7,AMZN190215C01600000,0.7223742549447598,0.722375261830166,0.004558528956176144,45.47473508864642,86.3439432215264,97.2392206222139
8,AMZN190215C01605000,0.6846924647856036,0.6846903488622047,0.0044298615168008966,45.47473508864642,91.53499173886671,61.04075794155506
9,AMZN190215C01610000,0.6608483419209241,0.6608490821236046,0.004532093280773031,22.73736754432321,94.28424476492195,45.58506077501079
10,AMZN190215C01615000,0.6549542510792457,0.6549532827193616,0.005261621486686823,22.73736754432321,94.9017322246324,49.55312384424815
11,AMZN190215C01620000,0.6238710119883248,0.6238718697204604,0.005215733980831131,-11.368683772161605,97.75979695019825,29.63202838657253
12,AMZN190215C01625000,0.5983015644173613,0.5983031314826803,0.005387223177685734,-22.73736754432321,99.61833556737218,18.25578827663321
13,AMZN190215C01630000,0.5716308786748742,0.5716316309190006,0.005538273560019154,-11.368683772161605,101.09290876344686,9.108194589657614
14,AMZN190215C01635000,0.5434752460308676,0.5434759486888652,0.00555805108303194,-11.368683772161605,102.14297842871446,2.6449196610656145
15,AMZN190215C01640000,0.5155374313677117,0.5155379767529666,0.005641647317077078,22.73736754432321,102.67578674984448,-0.06010225206409814
16,AMZN190215C01645000,0.4873685123909951,0.4873686521023046,0.005640033745205288,0.0,102.70221668209568,0.885930973026916
17,AMZN190215C01650000,0.45855889574166064,0.4585598389894585,0.005689286957195351,11.368683772161605,102.19884381533215,5.757385608262666
18,AMZN190215C01655000,0.42973649586603624,0.4297362465877086,0.005678313608201318,0.0,101.15587519898236,14.619834658446962
19,AMZN190215C01660000,0.4021812855413653,0.4021813992949319,0.005576824662297766,-11.368683772161605,99.64921913782995,26.576319811510984
20,AMZN190215C01665000,0.3742851513317482,0.3742854914889904,0.005488526005334325,22.73736754432321,97.6087315645375,42.31993052883354
21,AMZN190215C01670000,0.34766759009819226,0.3476668553048512,0.005349696994148306,22.73736754432321,95.16859307869875,60.283358038759616
22,AMZN190215C01675000,0.3227431170016084,0.3227438583053299,0.005169528104920286,-34.106051316484816,92.43594380043209,79.2580731712178
23,AMZN190215C01680000,0.29602222784028087,0.2960229039672413,0.005024991583152488,-22.73736754432321,89.01044633899704,103.2178613513679
24,AMZN190215C01685000,0.273415944468538,0.27341656050339225,0.004806351669539733,-5.684341886080802,85.69748000600579,123.85905442613421
25,AMZN190215C01690000,0.25008202620760445,0.25008205284393625,0.004600973146142538,0.0,81.86249638885593,147.42020006508483
26,AMZN190215C01695000,0.22876696415811593,0.22876662342241616,0.004374262160866023,-28.42170943040401,77.97394541227216,169.25718604454687
27,AMZN190215C01700000,0.20778564139525912,0.20778628595508053,0.00414514547265383,17.053025658242408,73.76854595907247,191.6945677038484
28,AMZN190215C01705000,0.18909168930184383,0.189091622360138,0.0039048926799807797,-17.053025658242408,69.68852967132996,210.82165716279633
29,AMZN190215C01710000,0.17220677686982366,0.17220713743881788,0.003663524961187125,11.368683772161605,65.71770094068206,227.01669806224345
30,AMZN190215C01715000,0.15711779878038662,0.15711762557657494,0.003426447158446863,19.89519660128281,61.92602973984741,240.00341017682558
31,AMZN190215C01720000,0.14050221303477028,0.14050229424356075,0.003190117239005146,-14.210854715202005,57.46765510544156,255.69279170412074
32,AMZN190215C01725000,0.12741177906392387,0.12741210753119958,0.0029640879265924254,-14.210854715202005,53.73170997040747,264.58024581899053
33,AMZN190315C01555000,0.7493043016791917,0.7493042630812852,0.002182630998185623,22.73736754432321,166.19914500540324,233.48127740518976
34,AMZN190315C01560000,0.7213345112084383,0.7213350272650132,0.002093811211576544,68.21210263296963,175.38937530596374,163.86961235070885
35,AMZN190315C01570000,0.7207987371148368,0.7207984253909672,0.0024064782528843975,-22.73736754432321,175.55334219641438,192.06531433724194
36,AMZN190315C01585000,0.6749761631018212,0.6749763770130812,0.0024440592114646207,-56.84341886080802,187.96612835413546,110.05503196770405
37,AMZN190315C01590000,0.6609296696247804,0.6609303682125756,0.002458128739040188,56.84341886080802,191.15193573215794,90.2048061846017
38,AMZN190315C01595000,0.6522065440347973,0.6522060402858187,0.0025743501058989975,11.368683772161605,192.98838168755753,83.45232842543737
39,AMZN190315C01600000,0.6365070204703919,0.6365092986015952,0.0025523073798631992,-11.368683772161605,196.0232423651942,63.06164337388509
40,AMZN190315C01605000,0.6235982308706611,0.6235978844415513,0.0025884207110802747,-11.368683772161605,198.2614603213718,50.142081988724385
41,AMZN190315C01610000,0.6112890809368704,0.6112895789556205,0.0026479317627642364,0.0,200.18214665895763,39.69081532773089
