name,delta_analytical,gamma_analytical,vega_analytical,delta_estimated,gamma_estimated,vega_estimated
SPY190315C00295000,0.0215912,0.0051044,4.4875099,0.0215912,0.0050093,160.3494840
SPY190315C00300000,0.0122179,0.0028543,2.7557938,0.0122179,0.0028288,111.0271898
SPY190315C00305000,0.0056298,0.0013807,1.3958288,0.0056298,0.0013944,68.0492589
SPY190315C00310000,0.0050111,0.0011016,1.2585263,0.0050111,0.0010791,56.1517875
SPY190418C00230000,0.9798973,0.0020400,5.8515271,0.9798973,0.0019895,119.0362558
SPY190418C00250000,0.8992276,0.0087137,21.2366613,0.8992276,0.0085265,193.8373577
SPY190418C00257000,0.8466773,0.0133179,28.4676048,0.8466773,0.0130740,188.6911486
SPY190418C00260000,0.7992159,0.0156914,33.7671664,0.7992159,0.0156319,147.3722344
SPY190418C00261000,0.7960737,0.0168856,34.0822145,0.7960737,0.0176215,155.0486259
SPY190418C00262000,0.7763412,0.0176776,35.9662759,0.7763412,0.0179057,135.7478207
SPY190418C00263000,0.7516798,0.0181777,38.1012718,0.7516798,0.0176215,110.2043601
SPY190418C00265000,0.7192627,0.0201075,40.5575900,0.7192627,0.0204636,87.7747669
SPY190418C00266000,0.7009076,0.0210601,41.7805288,0.7009076,0.0216005,74.9826881
SPY190418C00267000,0.6796395,0.0217960,43.0516855,0.6796395,0.0213163,59.8746670
SPY190418C00268000,0.6582358,0.0225668,44.1773002,0.6582358,0.0227374,46.3572888
SPY190418C00269000,0.6361925,0.0233294,45.1795798,0.6361925,0.0233058,34.0386442
SPY190418C00270000,0.6140679,0.0242434,46.0289159,0.6140679,0.0241585,23.6228702
SPY190418C00271000,0.5903166,0.0249762,46.7693273,0.5903166,0.0244427,14.1483884
SPY190418C00272000,0.5655780,0.0256059,47.3547979,0.5655780,0.0258638,6.6606457
SPY190418C00273000,0.5400672,0.0261902,47.7625151,0.5400672,0.0264322,1.7188029
SPY190418C00274000,0.5137605,0.0266729,47.9762702,0.5137605,0.0267164,-0.2703295
SPY190418C00275000,0.4868470,0.0269775,47.9787365,0.4868470,0.0268585,1.1225444
SPY190418C00276000,0.4591583,0.0273005,47.7530482,0.4591583,0.0274269,6.3174017
SPY190418C00277000,0.4312221,0.0273780,47.2896500,0.4312221,0.0275691,15.5142687
SPY190418C00278000,0.4035056,0.0272068,46.5936565,0.4035056,0.0272848,28.5280232
SPY190418C00279000,0.3749830,0.0270496,45.6280116,0.3749830,0.0270006,46.1900927
SPY190418C00280000,0.3478579,0.0265307,44.4701436,0.3478579,0.0261480,66.4329178
SPY190418C00281000,0.3203631,0.0259730,43.0518334,0.3203631,0.0262901,90.7675930
SPY190418C00282000,0.2920004,0.0253756,41.3220421,0.2920004,0.0251532,120.1365418
SPY190418C00283000,0.2682425,0.0243245,39.6564987,0.2682425,0.0245848,145.3860380
SPY190418C00284000,0.2429928,0.0233358,37.6600793,0.2429928,0.0233058,175.5833008
SPY190418C00285000,0.2177204,0.0222597,35.4161434,0.2177204,0.0223821,208.2309912
SPY190418C00286000,0.1974067,0.0209779,33.4238089,0.1974067,0.0204636,232.4766659
SPY190418C00287000,0.1753868,0.0197011,31.0616282,0.1753868,0.0190425,261.1457991
SPY190418C00288000,0.1535300,0.0183447,28.4931054,0.1535300,0.0182609,289.9513709
SPY190418C00289000,0.1341497,0.0169285,26.0128640,0.1341497,0.0171951,313.0675503
SPY190418C00290000,0.1206147,0.0156077,24.1577239,0.1206147,0.0158451,322.8586104
SPY190418C00291000,0.1051356,0.0142359,21.9007886,0.1051356,0.0147793,335.6292215
SPY190418C00292000,0.0927307,0.0129683,19.9783213,0.0927307,0.0131806,340.8900196
SPY190418C00293000,0.0803184,0.0116950,17.9428358,0.0803184,0.0116884,344.3938263
SPY190418C00295000,0.0622463,0.0095409,14.7518325,0.0622463,0.0094147,336.0028046
SPY190418C00296000,0.0548093,0.0085913,13.3490690,0.0548093,0.0087041,327.8374166
SPY190418C00297000,0.0491767,0.0077981,12.2469834,0.0491767,0.0078337,317.4092574
SPY190418C00298000,0.0415332,0.0068457,10.6906632,0.0415332,0.0067679,305.9170137
SPY190418C00300000,0.0333681,0.0056045,8.9400248,0.0333681,0.0057199,280.0159780
SPY190418C00305000,0.0201982,0.0034778,5.8751069,0.0201982,0.0034284,216.8647923
SPY190418C00315000,0.0080754,0.0014180,2.6594193,0.0080754,0.0014033,121.6224794
