"Dates","Close"
2019-02-06 09:30:00,2.15
2019-02-06 09:31:00,2.23
2019-02-06 09:32:00,2.29
2019-02-06 09:33:00,2.35
2019-02-06 09:34:00,2.33
2019-02-06 09:35:00,2.32
2019-02-06 09:36:00,2.23
2019-02-06 09:37:00,2.19
2019-02-06 09:38:00,2.12
2019-02-06 09:39:00,2.05
2019-02-06 09:40:00,2.14
2019-02-06 09:41:00,2.06
2019-02-06 09:42:00,2.12
2019-02-06 09:43:00,2.14
2019-02-06 09:44:00,2.17
2019-02-06 09:45:00,2.2
2019-02-06 09:46:00,2.22
2019-02-06 09:47:00,2.25
2019-02-06 09:48:00,2.27
2019-02-06 09:49:00,2.25
2019-02-06 09:50:00,2.27
2019-02-06 09:51:00,2.24
2019-02-06 09:52:00,2.22
2019-02-06 09:53:00,2.28
2019-02-06 09:55:00,2.24
2019-02-06 09:56:00,2.22
2019-02-06 09:57:00,2.15
2019-02-06 09:58:00,2.09
2019-02-06 09:59:00,2.09
2019-02-06 10:00:00,1.98
2019-02-06 10:01:00,1.96
2019-02-06 10:02:00,1.95
2019-02-06 10:03:00,1.95
2019-02-06 10:04:00,2.01
2019-02-06 10:05:00,2.05
2019-02-06 10:06:00,2.05
2019-02-06 10:07:00,2.02
2019-02-06 10:08:00,2
2019-02-06 10:09:00,1.95
2019-02-06 10:10:00,1.9
2019-02-06 10:11:00,1.84
2019-02-06 10:12:00,1.86
2019-02-06 10:13:00,1.86
2019-02-06 10:14:00,1.77
2019-02-06 10:15:00,1.78
2019-02-06 10:16:00,1.79
2019-02-06 10:17:00,1.83
2019-02-06 10:18:00,1.82
2019-02-06 10:19:00,1.82
2019-02-06 10:20:00,1.8
2019-02-06 10:21:00,1.76
2019-02-06 10:22:00,1.79
2019-02-06 10:23:00,1.74
2019-02-06 10:24:00,1.83
2019-02-06 10:25:00,1.91
2019-02-06 10:26:00,1.89
2019-02-06 10:27:00,1.9
2019-02-06 10:28:00,1.85
2019-02-06 10:29:00,1.84
2019-02-06 10:30:00,1.87
2019-02-06 10:31:00,1.92
2019-02-06 10:32:00,1.95
2019-02-06 10:33:00,1.98
2019-02-06 10:34:00,1.95
2019-02-06 10:35:00,1.96
