method,opt_type,estimate,standard_deviation,standard_error,time_elapsed
Simple MC,C,9.10370808726601,13.64753779863815,0.01364753779863815,44.68047881126404
Simple MC,P,6.258363089565288,9.068547138270558,0.009068547138270558,45.93522787094116
Antithetic MC,C,9.131682415915265,7.217884488774909,0.007217884488774909,66.05935168266296
Antithetic MC,P,6.261965217894139,4.638443732316435,0.004638443732316435,65.72103023529053
Control Delta MC,C,9.135354713638938,0.6131800141374495,0.0006131800141374495,271.13860297203064
Control Delta MC,P,6.267466232035682,0.98159632960702,0.00098159632960702,276.6367127895355
Antithetic and Control Delta MC,C,9.135282272016621,0.3196581967252668,0.0003196581967252668,504.39522218704224
Antithetic and Control Delta MC,P,6.267405982680487,0.2812737782889002,0.0002812737782889002,508.45291328430176
