estimate,eval_count,sim_count,standard_deviation,standard_error,time_elapsed
9.14650067380008,300.0,1000000.0,13.705231774740213,0.013705231774740213,31.415969133377075
9.129210220029764,400.0,1000000.0,13.67534560683133,0.01367534560683133,35.24046182632446
9.140976618225928,500.0,1000000.0,13.708276200196577,0.013708276200196576,37.61622500419617
9.132677977155172,600.0,1000000.0,13.70356275672247,0.01370356275672247,40.606163024902344
9.121867904268779,700.0,1000000.0,13.685593161623897,0.013685593161623898,43.255040884017944
9.125478452994985,300.0,2000000.0,13.682797401051236,0.009675198827884996,64.52211689949036
9.139628804543005,400.0,2000000.0,13.703301388029477,0.009689697336118672,70.1567177772522
9.121394255140943,500.0,2000000.0,13.679240582765248,0.009672683777555527,75.0104169845581
9.146356053078678,600.0,2000000.0,13.711279839863115,0.009695338953513608,81.18650698661804
9.133388064265157,700.0,2000000.0,13.688248593048268,0.009679053402711649,85.95727300643921
9.137936136702866,300.0,3000000.0,13.704367393922105,0.007912220203954459,96.59306788444519
9.132655933567875,400.0,3000000.0,13.690642884477535,0.00790429635473214,103.65265488624573
9.130787641727668,500.0,3000000.0,13.697756057433212,0.007908403147052892,111.96132588386536
9.143357871580555,600.0,3000000.0,13.709203128750993,0.007915012116759646,121.49709391593933
9.123351096033444,700.0,3000000.0,13.689468453912506,0.007903618296929276,129.37581300735474
9.146650675503775,300.0,4000000.0,13.701225712180968,0.006850612856090484,127.70112991333008
9.128037637655426,400.0,4000000.0,13.688657187466656,0.006844328593733328,138.41026997566223
9.13723415398633,500.0,4000000.0,13.68888685153214,0.0068444434257660695,149.3179681301117
9.131001969774083,600.0,4000000.0,13.693716982182051,0.006846858491091025,162.4830560684204
9.13349083876314,700.0,4000000.0,13.686837701209237,0.006843418850604618,172.75479817390442
9.13499533717232,300.0,5000000.0,13.691945009021236,0.006123223956872091,160.4716579914093
9.131135467097078,400.0,5000000.0,13.691858671191351,0.00612318534542076,174.49779295921326
9.142453913769344,500.0,5000000.0,13.700757158157788,0.00612716486977153,195.6816132068634
9.12570655914829,600.0,5000000.0,13.680674178337814,0.006118183488157887,204.5935618877411
9.129560957336222,700.0,5000000.0,13.67966667669383,0.006117732919725208,216.86056876182556
