name,bs_price,implied_vol,opt_type,strike,ttm
SPY190215P00216000,0.02,0.4180494415790529,P,216.0,0.024657534246575342
SPY190215P00217000,0.02,0.411174376602368,P,217.0,0.024657534246575342
SPY190215P00218000,0.02,0.4024843791561663,P,218.0,0.024657534246575342
SPY190215C00220000,50.55,0.6748545896195169,C,220.0,0.024657534246575342
SPY190215P00220000,0.02,0.39316105415754,P,220.0,0.024657534246575342
SPY190215P00221000,0.02,0.3793626795034579,P,221.0,0.024657534246575342
SPY190215P00222000,0.03,0.3923273574360801,P,222.0,0.024657534246575342
SPY190215P00225000,0.03,0.3684405963439161,P,225.0,0.024657534246575342
SPY190215P00226000,0.03,0.36053417283860617,P,226.0,0.024657534246575342
SPY190215P00227000,0.33,0.456339831242476,P,227.0,0.024657534246575342
SPY190215P00228000,0.02,0.3263965835961539,P,228.0,0.024657534246575342
SPY190215P00229000,0.04,0.3369759049866816,P,229.0,0.024657534246575342
SPY190215C00230000,40.81,0.6229763478040695,C,230.0,0.024657534246575342
SPY190215P00230000,0.03,0.32519168561072,P,230.0,0.024657534246575342
SPY190215P00231000,0.02,0.30408811691167104,P,231.0,0.024657534246575342
SPY190215P00232000,0.02,0.3023834789500517,P,232.0,0.024657534246575342
SPY190215P00233000,0.04,0.3101894861596929,P,233.0,0.024657534246575342
SPY190215P00234000,0.04,0.2982148002175724,P,234.0,0.024657534246575342
SPY190215C00235000,35.58,0.4914560983347338,C,235.0,0.024657534246575342
SPY190215P00235000,0.04,0.2887378873117745,P,235.0,0.024657534246575342
SPY190215P00236000,0.04,0.2814037171776033,P,236.0,0.024657534246575342
SPY190215P00237000,0.05,0.2792122662829621,P,237.0,0.024657534246575342
SPY190215C00238000,32.62,0.4654034557721473,C,238.0,0.024657534246575342
SPY190215P00238000,0.04,0.2676158548925844,P,238.0,0.024657534246575342
SPY190215P00239000,0.05,0.26702857688259896,P,239.0,0.024657534246575342
SPY190215C00240000,30.47,0.3908137921933775,C,240.0,0.024657534246575342
SPY190215P00240000,0.04,0.2535175484464601,P,240.0,0.024657534246575342
SPY190215C00241000,29.62,0.4280945070746805,C,241.0,0.024657534246575342
SPY190215P00241000,0.05,0.2470024650359093,P,241.0,0.024657534246575342
SPY190215C00242000,28.44,0.3554098606109619,C,242.0,0.024657534246575342
SPY190215P00242000,0.06,0.24634772249499856,P,242.0,0.024657534246575342
SPY190215C00243000,27.66,0.413379016376677,C,243.0,0.024657534246575342
SPY190215P00243000,0.07,0.2417260850481975,P,243.0,0.024657534246575342
SPY190215C00244000,26.78,0.4249940169484992,C,244.0,0.024657534246575342
SPY190215P00244000,0.08,0.23729632882510915,P,244.0,0.024657534246575342
SPY190215C00245000,25.84,0.4233340190007137,C,245.0,0.024657534246575342
SPY190215P00245000,0.07,0.2246195337046748,P,245.0,0.024657534246575342
SPY190215C00246000,24.69,0.3807940775034379,C,246.0,0.024657534246575342
SPY190215P00246000,0.09,0.2228375773905488,P,246.0,0.024657534246575342
SPY190215C00247000,23.53,0.328372902011279,C,247.0,0.024657534246575342
SPY190215P00247000,0.11,0.2183775035926448,P,247.0,0.024657534246575342
SPY190215C00248000,22.55,0.3218829208219112,C,248.0,0.024657534246575342
SPY190215P00248000,0.1,0.2079607214769134,P,248.0,0.024657534246575342
SPY190215P00249000,0.11,0.20192688993175925,P,249.0,0.024657534246575342
SPY190215C00250000,20.57,0.3015350869723729,C,250.0,0.024657534246575342
SPY190215P00250000,0.12,0.1962907966750357,P,250.0,0.024657534246575342
SPY190215C00251000,19.91,0.3511462409115402,C,251.0,0.024657534246575342
SPY190215P00251000,0.14,0.19062775175284846,P,251.0,0.024657534246575342
SPY190215C00252000,18.61,0.2855393611808692,C,252.0,0.024657534246575342
SPY190215P00252000,0.15,0.18416079108977254,P,252.0,0.024657534246575342
SPY190215C00253000,17.68,0.2862711355719768,C,253.0,0.024657534246575342
SPY190215P00253000,0.17,0.17791476091155614,P,253.0,0.024657534246575342
SPY190215C00254000,16.85,0.29861538103838875,C,254.0,0.024657534246575342
SPY190215P00254000,0.18,0.17023541433427036,P,254.0,0.024657534246575342
SPY190215C00255000,15.58,0.2397400568546861,C,255.0,0.024657534246575342
SPY190215P00255000,0.22,0.16614805402048408,P,255.0,0.024657534246575342
SPY190215C00256000,14.68,0.24582996895785705,C,256.0,0.024657534246575342
SPY190215P00256000,0.25,0.16078886778458304,P,256.0,0.024657534246575342
SPY190215C00257000,13.88,0.2594671356544066,C,257.0,0.024657534246575342
SPY190215P00257000,0.28,0.15432878528409602,P,257.0,0.024657534246575342
SPY190215C00258000,12.66,0.2148171833583287,C,258.0,0.024657534246575342
SPY190215P00258000,0.32,0.14846573705258576,P,258.0,0.024657534246575342
SPY190215C00259000,11.77,0.21678821713316676,C,259.0,0.024657534246575342
SPY190215P00259000,0.38,0.14327652923896186,P,259.0,0.024657534246575342
SPY190215C00260000,10.76,0.2007261734435012,C,260.0,0.024657534246575342
SPY190215P00260000,0.43,0.1371335251556943,P,260.0,0.024657534246575342
SPY190215P00261000,0.49,0.13070634563865566,P,261.0,0.024657534246575342
SPY190215C00262000,8.92,0.18904398203591216,C,262.0,0.024657534246575342
SPY190215P00262000,0.58,0.12552745506891508,P,262.0,0.024657534246575342
SPY190215C00263000,7.94,0.17502479961523587,C,263.0,0.024657534246575342
SPY190215P00263000,0.66,0.11941925643959925,P,263.0,0.024657534246575342
SPY190215C00264000,7.03,0.16773176974937565,C,264.0,0.024657534246575342
SPY190215P00264000,0.76,0.11333376550308577,P,264.0,0.024657534246575342
SPY190215C00265000,6.14,0.1595995284482182,C,265.0,0.024657534246575342
SPY190215P00265000,0.87,0.10747603443272584,P,265.0,0.024657534246575342
SPY190215C00266000,5.33,0.15568796054337375,C,266.0,0.024657534246575342
SPY190215P00266000,1.0,0.10189264936520316,P,266.0,0.024657534246575342
SPY190215C00267000,4.49,0.1475665514426463,C,267.0,0.024657534246575342
SPY190215P00267000,1.14,0.09729181714070118,P,267.0,0.024657534246575342
SPY190215C00268000,3.69,0.13919694924060208,C,268.0,0.024657534246575342
SPY190215P00268000,1.26,0.0924467125817028,P,268.0,0.024657534246575342
SPY190215C00269000,3.03,0.1365114173011097,C,269.0,0.024657534246575342
SPY190215P00269000,1.36,0.08925885495627323,P,269.0,0.024657534246575342
SPY190215C00270000,2.42,0.13298826144479425,C,270.0,0.024657534246575342
SPY190215P00270000,1.41,0.08841481660028247,P,270.0,0.024657534246575342
SPY190215C00271000,1.87,0.1292855172510952,C,271.0,0.024657534246575342
SPY190215P00271000,1.46,0.09264454512340027,P,271.0,0.024657534246575342
SPY190215C00272000,1.39,0.12483576069707455,C,272.0,0.024657534246575342
SPY190215P00272000,1.57,0.10526036362513863,P,272.0,0.024657534246575342
SPY190215C00273000,0.99,0.12088632949477875,C,273.0,0.024657534246575342
SPY190215P00273000,1.84,0.1284050392677717,P,273.0,0.024657534246575342
SPY190215C00274000,0.69,0.11812486916856693,C,274.0,0.024657534246575342
SPY190215P00274000,2.28,0.16080216068745878,P,274.0,0.024657534246575342
SPY190215C00275000,0.46,0.11595551620054124,C,275.0,0.024657534246575342
SPY190215P00275000,2.85,0.19981958677091866,P,275.0,0.024657534246575342
SPY190215C00276000,0.3,0.11406975329074713,C,276.0,0.024657534246575342
SPY190215P00276000,3.49,0.2419895040409644,P,276.0,0.024657534246575342
SPY190215C00277000,0.19,0.11332081406927474,C,277.0,0.024657534246575342
SPY190215P00277000,4.27,0.2910963165790529,P,277.0,0.024657534246575342
SPY190215C00278000,0.12,0.11290690478156595,C,278.0,0.024657534246575342
SPY190215P00278000,4.83,0.32880091606198675,P,278.0,0.024657534246575342
SPY190215C00279000,0.08,0.11354740318434928,C,279.0,0.024657534246575342
SPY190215P00279000,6.1,0.4027926281589985,P,279.0,0.024657534246575342
SPY190215C00280000,0.05,0.11533855477257457,C,280.0,0.024657534246575342
SPY190215P00280000,7.1,0.4625415192235766,P,280.0,0.024657534246575342
SPY190215C00281000,0.04,0.11863212146417565,C,281.0,0.024657534246575342
SPY190215C00282000,0.02,0.11963784542230085,C,282.0,0.024657534246575342
SPY190215P00282000,8.71,0.5605288234818012,P,282.0,0.024657534246575342
SPY190215C00283000,0.02,0.12342878619728186,C,283.0,0.024657534246575342
SPY190215P00283000,9.92,0.6304874200650188,P,283.0,0.024657534246575342
SPY190215C00284000,0.01,0.12756590343192412,C,284.0,0.024657534246575342
SPY190215C00285000,0.01,0.13167348359246994,C,285.0,0.024657534246575342
SPY190215P00285000,11.92,0.7465776823975546,P,285.0,0.024657534246575342
SPY190215C00286000,0.01,0.13660356516728314,C,286.0,0.024657534246575342
SPY190215P00286000,13.11,0.8140328960955295,P,286.0,0.024657534246575342
