"Dates","Close"
2019-02-06 09:31:00,75.31
2019-02-06 10:13:00,59.65
2019-02-06 10:15:00,59.13
2019-02-06 10:16:00,60.82
2019-02-06 10:17:00,61.32
2019-02-06 10:20:00,59.42
2019-02-06 10:22:00,58.35
2019-02-06 10:23:00,57.57
2019-02-06 10:26:00,59.68
2019-02-06 10:27:00,59.4
2019-02-06 10:29:00,57.82
2019-02-06 10:30:00,60
2019-02-06 10:32:00,60.85
2019-02-06 10:35:00,61.5
2019-02-06 10:36:00,62
2019-02-06 10:37:00,61.93
2019-02-06 10:44:00,62.79
2019-02-06 10:51:00,62.8
2019-02-06 11:04:00,61.7
2019-02-06 11:15:00,62.1
2019-02-06 11:21:00,61.9
2019-02-06 11:24:00,60
2019-02-06 11:33:00,60.5
2019-02-06 11:35:00,60.5
2019-02-06 11:37:00,60.4
2019-02-06 11:43:00,60.53
2019-02-06 11:50:00,59.17
2019-02-06 12:10:00,58.75
2019-02-06 12:13:00,59.87
2019-02-06 12:25:00,59.85
2019-02-06 12:48:00,59
2019-02-06 12:49:00,58.95
2019-02-06 12:53:00,59.45
2019-02-06 12:54:00,58.89
2019-02-06 13:00:00,60.2
2019-02-06 13:13:00,59.8
2019-02-06 13:16:00,59.98
2019-02-06 13:17:00,60.25
2019-02-06 13:47:00,59
2019-02-06 14:10:00,58
2019-02-06 14:15:00,58
2019-02-06 14:16:00,58.2
2019-02-06 14:17:00,58
2019-02-06 14:22:00,58.08
2019-02-06 14:32:00,57
2019-02-06 14:44:00,57.95
2019-02-06 14:56:00,56.9
2019-02-06 15:08:00,56.34
2019-02-06 15:10:00,56
2019-02-06 15:11:00,56.08
2019-02-06 15:33:00,56.25
2019-02-06 15:36:00,56.88
2019-02-06 15:41:00,58.4
2019-02-06 15:49:00,58.6
2019-02-06 15:50:00,58.68
2019-02-06 15:54:00,58.82
2019-02-06 15:58:00,57.52
